ID,var1,Education,Experience,Hours,Age,Gender,Location
1001,39795,,2,27,24,Female,Urban
1002,,11,45,31,64,Female,Urban
1003,99,9,32,41,47,Male,Urban
1004,99,12,7,18,29,Female,Urban
1005,,6,7,23,22,Male,Rural
1006,,9,25,36,47,Female,Urban
1007,121704,7,40,31,59,Female,Urban
1008,58108,10,7,26,24,Female,Urban
1009,52794,9,10,17,26,Female,Urban
1010,66383,13,5,42,23,Male,Urban
1011,30286,,3,38,23,Male,Urban
1012,59645,9,11,20,31,Female,Urban
1013,120625,15,24,26,39,Male,Urban
1014,50884,8,7,34,28,Female,Urban
1015,,7,11,21,30,Male,Urban
1016,,10,39,25,56,Female,Urban
1017,90228,11,16,32,38,Male,Urban
1018,57470,8,6,29,25,Female,Urban
1019,88704,6,26,29,45,Female,Urban
1020,91554,9,18,42,32,Male,Urban
1021,31845,8,0,28,21,Female,Urban
1022,39665,8,0,31,21,Female,Urban
1023,143075,10,40,35,55,Male,Urban
1024,65819,6,14,,32,Female,Urban
1025,87643,14,13,32,23,Male,Urban
1026,114479,6,35,26,56,Male,Urban
1027,62787,7,13,28,33,Female,Urban
1028,78845,7,22,20,44,Female,Urban
1029,90322,12,15,32,32,Female,Urban
1030,88645,10,19,30,34,Female,Urban
1031,37772,9,4,22,18,Male,Urban
1032,105611,11,25,29,41,Female,Urban
1033,97815,9,22,31,36,Female,Urban
1034,125179,11,30,35,50,Female,Urban
1035,130542,9,34,32,49,Male,Urban
1036,125990,9,34,34,51,Female,Urban
1037,74958,10,13,38,30,Female,Urban
1038,90518,7,28,32,47,Female,Urban
1039,128591,9,40,29,59,Male,Urban
1040,147013,8,46,33,62,Male,Urban
1041,130727,10,34,32,50,Male,Urban
1042,94614,7,24,36,34,Male,Urban
1043,95045,10,22,43,37,Male,Urban
1044,74723,11,12,24,31,Male,Urban
1045,69092,7,15,16,31,Male,Rural
1046,100300,8,23,40,31,Male,Urban
1047,91196,9,21,33,41,Female,Urban
1048,90933,9,17,42,34,Female,Urban
1049,102297,10,21,35,34,Male,Urban
1050,64547,11,10,18,31,Male,Urban
1051,70535,5,18,27,33,Male,Urban
1052,79444,10,14,29,34,Female,Urban
1053,143051,6,47,32,62,Male,Urban
1054,88348,11,20,29,36,Male,Urban
1055,51260,10,4,20,24,Male,Rural
1056,136491,7,43,32,64,Female,Urban
1057,95316,9,25,27,47,Female,Urban
1058,33134,3,2,40,21,Male,Rural
1059,40694,5,7,20,20,Male,Urban
1060,70328,16,10,13,32,Female,Urban
1061,149869,11,44,29,61,Male,Urban
1062,150156,9,44,37,65,Female,Rural
1063,137139,7,43,34,64,Female,Urban
1064,85665,9,18,30,34,Male,Urban
1065,55936,6,9,27,28,Female,Urban
1066,87260,8,16,39,28,Male,Urban
1067,94671,10,18,26,35,Male,Rural
1068,62671,14,6,23,24,Male,Urban
1069,54615,10,8,35,29,Female,Urban
1070,51833,12,0,29,18,Female,Urban
1071,109332,13,28,29,45,Female,Urban
1072,38946,6,3,25,23,Female,Urban
1073,48169,8,6,37,25,Male,Urban
1074,42330,6,,29,26,Male,Urban
1075,115032,14,26,35,40,Male,Urban
1076,119308,8,38,29,54,Female,Urban
1077,94465,8,25,30,35,Male,Urban
1078,126896,14,28,31,44,Male,Urban
1079,112091,8,27,34,44,Male,Urban
1080,65497,10,13,24,32,Female,Urban
1081,60899,9,12,32,24,Male,Urban
1082,143057,10,42,33,60,Female,Urban
1083,113290,9,34,25,56,Female,Rural
1084,27564,6,0,21,18,Female,Urban
1085,107112,10,30,28,52,Female,Urban
1086,159980,10,49,34,64,Male,Urban
1087,31883,5,1,22,20,Female,Urban
1088,143448,13,42,24,56,Male,Urban
1089,114874,6,33,32,50,Male,Urban
1090,62726,14,4,31,19,Male,Urban
1091,115697,6,36,30,53,Male,Urban
1092,108193,7,37,17,57,Female,Urban
1093,120922,9,36,,52,Male,Urban
1094,118018,9,35,37,50,Male,Urban
1095,92979,10,17,33,27,Male,Urban
1096,63456,10,9,30,23,Male,Urban
1097,60931,10,7,39,22,Male,Urban
1098,66494,11,8,23,23,Male,Urban
1099,123693,5,36,35,48,Male,Urban
1100,99769,10,28,21,48,Female,Urban
1101,55892,6,9,24,29,Female,Urban
1102,111755,8,38,35,53,Female,Urban
1103,58019,7,8,24,31,Female,Urban
1104,142540,9,42,39,61,Male,Urban
1105,87113,13,11,50,23,Male,Urban
1106,63067,12,8,28,31,Female,Urban
1107,156958,10,46,29,60,Male,Urban
1108,58307,7,14,23,27,Male,Urban
1109,28569,6,0,28,22,Female,Urban
1110,38482,8,2,23,23,Female,Urban
1111,86566,9,22,25,40,Female,Urban
1112,91717,10,24,26,40,Male,Urban
1113,73873,10,11,35,26,Male,Urban
1114,33060,9,0,28,19,Female,Urban
1115,83598,9,18,45,40,Female,Urban
1116,102387,13,21,30,43,Female,Urban
1117,90324,11,20,30,36,Male,Urban
1118,64290,7,13,28,31,Male,Urban
1119,63838,7,12,32,32,Male,Urban
1120,44096,10,4,20,21,Male,Urban
1121,107608,14,19,34,31,Male,Urban
1122,140071,5,,34,59,Male,Urban
1123,102173,9,27,29,46,Female,Urban
1124,68812,11,8,31,18,Male,Urban
1125,53522,12,3,31,20,Female,Rural
1126,77523,10,18,26,40,Female,Urban
1127,69846,11,4,42,19,Male,Urban
1128,67167,11,12,26,31,Female,Urban
